"","diseaseId","targetId","datatypeId","datasourceId","score","evidenceCount"
"878672","MONDO_0015993","ENSG00000148019","genetic_association","eva",0.7941096,4
"878673","MONDO_0015993","ENSG00000148600","genetic_association","eva",0.7312057,3
"878674","MONDO_0015993","ENSG00000151062","genetic_association","eva",0.5471377,1
"878676","MONDO_0015993","ENSG00000157869","genetic_association","eva",0.5471377,1
"878677","MONDO_0015993","ENSG00000160226","genetic_association","eva",0.4255516,1
"878678","MONDO_0015993","ENSG00000163914","genetic_association","eva",0.5471377,1
"878680","MONDO_0015993","ENSG00000170264","genetic_association","eva",0.5471377,1
"878681","MONDO_0015993","ENSG00000170289","genetic_association","eva",0.5471377,1
"878682","MONDO_0015993","ENSG00000173614","genetic_association","eva",0.5592963,1
"878683","MONDO_0015993","ENSG00000175544","genetic_association","eva",0.7008091,3
"878684","MONDO_0015993","ENSG00000179270","genetic_association","eva",0.6960808,2
"878685","MONDO_0015993","ENSG00000188452","genetic_association","eva",0.7865105,4
"878686","MONDO_0015993","ENSG00000188603","genetic_association","eva",0.6991204,2
"878687","MONDO_0015993","ENSG00000198515","genetic_association","eva",0.4255516,1
"878689","MONDO_0015993","ENSG00000198707","genetic_association","eva",0.4255516,1
"878690","MONDO_0015993","ENSG00000265203","genetic_association","eva",0.5471377,1
"878691","MONDO_0015993","ENSG00000278570","genetic_association","eva",0.6839221,2
"878997","MONDO_0016364","ENSG00000115904","genetic_association","eva",0.01215862,1
"879126","MONDO_0016364","ENSG00000106477","genetic_association","orphanet",0.6079308,1
"879129","MONDO_0016364","ENSG00000168944","genetic_association","orphanet",0.6079308,1
"879523","MONDO_0015993","ENSG00000000971","animal_model","impc",0.3271276,1
"879524","MONDO_0015993","ENSG00000004846","animal_model","impc",0.2682191,1
"879526","MONDO_0015993","ENSG00000007372","animal_model","impc",0.3588008,2
"879527","MONDO_0015993","ENSG00000052126","animal_model","impc",0.2626869,1
"879528","MONDO_0015993","ENSG00000054282","animal_model","impc",0.2635988,1
"879529","MONDO_0015993","ENSG00000065675","animal_model","impc",0.2825662,1
"879530","MONDO_0015993","ENSG00000074621","animal_model","impc",0.3518096,1
"879531","MONDO_0015993","ENSG00000075891","animal_model","impc",0.2530816,1
"879532","MONDO_0015993","ENSG00000077498","animal_model","impc",0.2830526,1
"879533","MONDO_0015993","ENSG00000080824","animal_model","impc",0.3369152,1
"879534","MONDO_0015993","ENSG00000091513","animal_model","impc",0.2502243,1
"879535","MONDO_0015993","ENSG00000095015","animal_model","impc",0.3291945,1
"879536","MONDO_0015993","ENSG00000100068","animal_model","impc",0.4380597,2
"879537","MONDO_0015993","ENSG00000101680","animal_model","impc",0.302628,1
"879539","MONDO_0015993","ENSG00000102104","animal_model","impc",0.3465661,2
"879540","MONDO_0015993","ENSG00000102218","animal_model","impc",0.3172183,1
"879541","MONDO_0015993","ENSG00000105392","animal_model","impc",0.4085447,2
"879542","MONDO_0015993","ENSG00000106077","animal_model","impc",0.2787363,1
"879543","MONDO_0015993","ENSG00000110435","animal_model","impc",0.2882808,1
"879544","MONDO_0015993","ENSG00000112041","animal_model","impc",0.3027495,1
"879545","MONDO_0015993","ENSG00000112238","animal_model","impc",0.3578281,1
"879546","MONDO_0015993","ENSG00000112242","animal_model","impc",0.2626869,1
"879547","MONDO_0015993","ENSG00000112333","animal_model","impc",0.3466421,1
"879549","MONDO_0015993","ENSG00000113141","animal_model","impc",0.2781283,1
"879550","MONDO_0015993","ENSG00000114023","animal_model","impc",0.2639028,1
"879551","MONDO_0015993","ENSG00000114391","animal_model","impc",0.2555133,1
"879552","MONDO_0015993","ENSG00000114923","animal_model","impc",0.3370368,1
"879553","MONDO_0015993","ENSG00000119614","animal_model","impc",0.2675503,1
"879554","MONDO_0015993","ENSG00000123240","animal_model","impc",0.377525,1
"879555","MONDO_0015993","ENSG00000124587","animal_model","impc",0.2876121,1
"879556","MONDO_0015993","ENSG00000125378","animal_model","impc",0.2533248,1
"879557","MONDO_0015993","ENSG00000128059","animal_model","impc",0.2980685,1
"879558","MONDO_0015993","ENSG00000130508","animal_model","impc",0.317887,1
"879559","MONDO_0015993","ENSG00000131389","animal_model","impc",0.3206227,1
"879560","MONDO_0015993","ENSG00000133256","animal_model","impc",0.6372891,6
"879561","MONDO_0015993","ENSG00000134287","animal_model","impc",0.2614102,1
"879562","MONDO_0015993","ENSG00000134376","animal_model","impc",0.3886502,3
"879563","MONDO_0015993","ENSG00000135355","animal_model","impc",0.3789233,1
"879564","MONDO_0015993","ENSG00000135390","animal_model","impc",0.2584922,1
"879565","MONDO_0015993","ENSG00000137868","animal_model","impc",0.3290729,1
"879566","MONDO_0015993","ENSG00000138207","animal_model","impc",0.3397117,1
"879567","MONDO_0015993","ENSG00000141510","animal_model","impc",0.2876121,1
"879568","MONDO_0015993","ENSG00000145934","animal_model","impc",0.3686492,1
"879569","MONDO_0015993","ENSG00000147852","animal_model","impc",0.341262,2
"879570","MONDO_0015993","ENSG00000147889","animal_model","impc",0.4300502,2
"879571","MONDO_0015993","ENSG00000149294","animal_model","impc",0.3912643,1
"879572","MONDO_0015993","ENSG00000151615","animal_model","impc",0.2811072,1
"879573","MONDO_0015993","ENSG00000151779","animal_model","impc",0.2591609,1
"879574","MONDO_0015993","ENSG00000153208","animal_model","impc",0.3937872,2
"879575","MONDO_0015993","ENSG00000153395","animal_model","impc",0.3231152,1
"879576","MONDO_0015993","ENSG00000155666","animal_model","impc",0.2908949,1
"879578","MONDO_0015993","ENSG00000160216","animal_model","impc",0.3576457,1
"879579","MONDO_0015993","ENSG00000160396","animal_model","impc",0.28439,1
"879580","MONDO_0015993","ENSG00000162236","animal_model","impc",0.2846332,1
"879581","MONDO_0015993","ENSG00000162337","animal_model","impc",0.4380597,2
"879582","MONDO_0015993","ENSG00000162745","animal_model","impc",0.2900438,1
"879583","MONDO_0015993","ENSG00000163602","animal_model","impc",0.2696173,1
"879584","MONDO_0015993","ENSG00000163914","animal_model","impc",0.3670703,3
"879585","MONDO_0015993","ENSG00000165588","animal_model","impc",0.3630563,1
